School,FP,Aaja Nach Le,Rhythm Ki Rang,Phir Hera Pheri,Vogue Veda,Kab? Kyoon? Aur Kahan?,Jeet Ki Aawaz,Total
ASSISI VIDYANIKETAN,0,0,0,0,0,0,0,0
BHAVAN'S ELAMAKKARA,0,0,0,0,0,0,0,0
BHAVAN'S EROOR,0,0,0,0,0,0,0,0
BHAVAN'S GIRINAGAR,0,0,0,0,0,0,0,0
BHAVAN'S NEWSPRINT,0,0,0,0,0,0,0,0
BHAVAN'S THRIKAKARA,0,0,0,0,0,0,0,0
CHINMAYA KANNAMALLY*,10,0,0,0,0,0,0,0
CHINMAYA TRIPUNITHURA,0,0,0,0,0,5,0,0
GLOBAL PUBLIC SCHOOL,0,0,0,0,0,0,0,0
KMJ PUBLIC SCHOOL,0,0,0,0,0,0,0,0
SBOA PUBLIC SR SEC SCHOOL,0,0,0,0,0,0,0,0
THE CHOICE SCHOOL*,10,0,0,0,0,0,0,0
THE DELTA STUDY,0,0,0,0,0,10,0,0
Toc H PUBLIC SCHOOL*,10,0,0,0,0,0,0,0
VIDYODAYA THEVAKKAL*,0,0,0,0,0,7,0,0
